id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,"You need to use brackets: my_list = []",
1,1493088154,35,0,"Look it up in the Python docs",
2,1493088154,35,3,"TU POWINNA BYC ODPOWIEDZ",
ce43a5d4-cf75-44ce-ae1b-4d9b6ee4ee66,1533853740,0,0,write here .....,blank
9925bd71-cf2e-4049-bdf4-9c9de2af54a5,1533853860,0,0,write here .....,blank
4af5c830-faa4-4a80-bcbc-92fdb9f8243b,1533854340,0,0,write here .....fff,blank
8bc48a98-ab6f-4397-9650-9fee5dc24f48,1533854400,0,30d4c39b-374d-492b-80be-d69a761b470a,write here .....,blank
ebf52da7-bc80-4e6e-9457-27773790f932,1533854400,0,30d4c39b-374d-492b-80be-d69a761b470a,write here .....,blank
e77e7ed0-1c10-46ec-9117-79749c671048,1533854400,0,30d4c39b-374d-492b-80be-d69a761b470a,powinno być tak a nie tak,blank
94c4ed4f-23cf-432f-9d9b-9fd93f89bdc9,1533854460,0,30d4c39b-374d-492b-80be-d69a761b470a,nie zgadzam się zróbmy to inaczej,blank
3a277000-bf09-4f89-a984-bf9fb24a3e8a,1533854520,0,378bef5a-fed9-4f90-846c-5871ad987ced,write here .....,blank
58ce11e8-1ad0-47af-b708-a54c106c1b8d,1533854580,0,378bef5a-fed9-4f90-846c-5871ad987ced,write here .....,blank
4332b0e1-3129-406c-b9a0-c66c1c857ec7,1533854580,0,bb98b351-ff19-4105-8249-8215c604b56a,write here .....,blank
f5b18e18-37ba-4c5b-bcee-ed60f7d11a86,1533854580,0,bb98b351-ff19-4105-8249-8215c604b56a,write here .....,blank
9c97b79a-21f8-469b-b9ec-dbf29a213fe4,1533854580,0,82da4fbe-2e72-41e7-9a25-fbd10aedc49f,write here .....,blank
a4a52631-c17e-44a5-9d2b-7fcf2a94f600,1533854580,0,82da4fbe-2e72-41e7-9a25-fbd10aedc49f,write here .....,blank
a5e0dadc-311e-4b4a-b2a6-d71b74e4e1ca,1533854700,0,b2537d53-d681-45ab-9347-5aff7dd4badd,write here .....,blank
49aecc8f-7e9e-400e-bf54-2e0b6cd57518,1533854700,0,3,write here .....,blank
ada5428e-a758-4412-a32b-eec4630b66ae,1533854700,0,3,write here .....,blank
d110f456-1536-4cab-9210-420a739445c8,1533854820,0,75e86180-7f8f-46e0-a48e-160abad5c4ed,"też mam z tym problem, polecam DUŻO KAWY",blank
e09a85fc-88a1-4e0b-8538-464cb28cc4dc,1533854940,0,75e86180-7f8f-46e0-a48e-160abad5c4ed,"nawet najstarsi ""fizjonomi"" nie wiedzą ;p",blank
3240bf51-3af9-4797-8f6b-89a34c3200d7,1533855060,0,75e86180-7f8f-46e0-a48e-160abad5c4ed,write here .....,blank
902b8ca1-17d6-4b11-8a63-f646d0875835,1533855780,0,3,write here .....,blank
68311f90-c12b-4d7f-ba1d-dd1f6555900c,1533856020,0,01d92ac9-f410-4edf-91f9-54b2587e8f23,write here .....,blank
670d49e5-82d5-44fc-b846-55d868f4dfbc,1533856320,0,0082a08b-bb68-4e33-80dd-59b9a410a6cb,"My answer is NO, ",blank
8967008c-0a63-4ea5-97ae-6191a6e3bb52,1533856560,0,75e86180-7f8f-46e0-a48e-160abad5c4ed,write here .....,blank
5d93c111-13a1-4020-add8-07766bc6cfa2,1533885240,0,0082a08b-bb68-4e33-80dd-59b9a410a6cb,write here .....,blank
253a335f-0fbb-467f-803e-3964df1f8863,1533885420,0,72d258ad-079e-402e-aff3-88da27cac220,"spać uczyć się kodować, spać uczyć sie kodować",blank
7764c1b7-1c23-4812-88d6-66a836411360,1533885780,0,fa643b56-2e76-4fdb-9b4d-95cdd0b0a363,uuuuuuuuuuu,blank
6a4d3aa4-018b-4f3b-a6fc-9a3308a622af,1533886140,0,0a06ce0a-3686-4794-b0f3-d04959991bd3,prosze opuscic to forum,blank
f1582886-7b10-411b-8685-71b09f9a8438,1533889380,0,a017715c-2d35-4e7d-8277-32801daf62fc,spytaj wujka google,blank
abd825b4-096e-41d3-82d6-84da438dfce1,1533892500,0,a017715c-2d35-4e7d-8277-32801daf62fc,write here .....,blank
f108f0b1-62f9-46d3-9d18-37d3d99ab53d,1533904800,0,e6a61609-13b4-4849-9866-ee4704c9a4a7,write here .....,blank
e2985ea7-e663-4f3d-90c4-085c32ca093f,1533904800,0,e6a61609-13b4-4849-9866-ee4704c9a4a7,write here .....,blank
56b855fe-ee83-4858-b298-5bc3fe3873f9,1533904800,0,e6a61609-13b4-4849-9866-ee4704c9a4a7,write here .....,blank
cf6ff7a3-9b43-447c-8d14-e27d9a54842b,1533904860,0,e6a61609-13b4-4849-9866-ee4704c9a4a7,write here .....,blank
436960e3-918e-4315-8087-e73cb8e01e2f,1534770660,0,e6a61609-13b4-4849-9866-ee4704c9a4a7,write here .....,blank
